Designator,Val,Package,MidX,MidY,Rotation,Layer
J1,GPIO,PinSocket_2x20_P2.54mm_Vertical,8.37,51.23,-90,bottom
C1,10nF,CAPC10555_55N_KEM,26.5,43.5,90,top
C2,10nF,CAPC10555_55N_KEM,12.5,43.5,90,top
C3,10uF,CAP_GRM155R61A106ME11_MUR,29,43.5,90,top
C4,10uF,CAP_GRM155R61A106ME11_MUR,10.5,43.5,90,top
C5,470uF,CAP_YX_10X16_RUB,68.16675,51.5,0,top
D1,1N4007W-T,SODFL3818X130N,13.721511,11,0,top
D2,1N4007W-T,SODFL3818X130N,23.25,11.072033,0,top
D3,1N4007W-T,SODFL3818X130N,32.75,11.072033,0,top
D4,1N4007W-T,SODFL3818X130N,42.25,11.072033,0,top
D5,1N4007W-T,SODFL3818X130N,51.75,11.072033,0,top
D6,1N4007W-T,SODFL3818X130N,61.221511,11,0,top
D7,1N4007W-T,SODFL3818X130N,68.75,11,0,top
D8,1N4007W-T,SODFL3818X130N,76.25,11.159821,0,top
D9,1N4007W-T,SODFL3818X130N,83.748947,11.159821,0,top
D10,1N4007W-T,SODFL3818X130N,83.427967,20.25,90,top
D11,1N4007W-T,SODFL3818X130N,83.427967,29.75,90,top
D12,1N4007W-T,SODFL3818X130N,83.427967,39.25,90,top
J2,G800W306018EU,CONN02_G800_5P08X2P5_AMP,14.54,30,180,top
J3,6.91E+11,6.91E+11,14,4.4,0,top
J4,6.91E+11,6.91E+11,23.5,4.4,0,top
J5,6.91E+11,6.91E+11,33,4.4,0,top
J6,6.91E+11,6.91E+11,42.5,4.4,0,top
J7,6.91E+11,6.91E+11,52,4.4,0,top
J8,6.91E+11,6.91E+11,71,4.4,0,top
J9,6.91E+11,6.91E+11,80.5,4.4,0,top
J10,6.91E+11,6.91E+11,90,4.4,0,top
J11,6.91E+11,6.91E+11,90.1,11,90,top
J12,6.91E+11,6.91E+11,90.1,20.5,90,top
J13,6.91E+11,6.91E+11,90.1,30,90,top
J14,6.91E+11,6.91E+11,90.1,39.5,90,top
J15,6.91E+11,6.91E+11,4.9,15.5,-90,top
J16,1844223,CONN_1844223_PXC,4.82359,43.432601,-90,top
