Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10nF","CAPC10555_55N_KEM",26.500000,43.500000,90.000000,top
"C2","10nF","CAPC10555_55N_KEM",12.500000,43.500000,90.000000,top
"C3","10uF","CAP_GRM155R61A106ME11_MUR",29.000000,43.500000,90.000000,top
"C4","10uF","CAP_GRM155R61A106ME11_MUR",10.500000,43.500000,90.000000,top
"C5","470uF","CAP_YX_10X16_RUB",68.166750,51.500000,0.000000,top
"C6","470uF","CAP_YX_10X16_RUB",68.166750,40.000000,0.000000,top
"C7","470uF","CAP_YX_10X16_RUB",68.166750,28.250000,0.000000,top
"D1","1N4007W-T","SODFL3818X130N",13.721511,11.000000,0.000000,top
"D2","1N4007W-T","SODFL3818X130N",23.250000,11.072033,0.000000,top
"D3","1N4007W-T","SODFL3818X130N",32.750000,11.072033,0.000000,top
"D4","1N4007W-T","SODFL3818X130N",42.250000,11.072033,0.000000,top
"D5","1N4007W-T","SODFL3818X130N",51.750000,11.072033,0.000000,top
"D6","1N4007W-T","SODFL3818X130N",61.221511,11.000000,0.000000,top
"D7","1N4007W-T","SODFL3818X130N",68.750000,11.000000,0.000000,top
"D8","1N4007W-T","SODFL3818X130N",76.250000,11.159821,0.000000,top
"D9","1N4007W-T","SODFL3818X130N",83.748947,11.159821,0.000000,top
"D10","1N4007W-T","SODFL3818X130N",83.427967,20.250000,90.000000,top
"D11","1N4007W-T","SODFL3818X130N",83.427967,29.750000,90.000000,top
"D12","1N4007W-T","SODFL3818X130N",83.427967,39.250000,90.000000,top
"J2","G800W306018EU","CONN02_G800_5P08X2P5_AMP",14.540000,30.000000,180.000000,top
"J3","691322110002","691322110002",14.000000,4.400000,0.000000,top
"J4","691322110002","691322110002",23.500000,4.400000,0.000000,top
"J5","691322110002","691322110002",33.000000,4.400000,0.000000,top
"J6","691322110002","691322110002",42.500000,4.400000,0.000000,top
"J7","691322110002","691322110002",52.000000,4.400000,0.000000,top
"J8","691322110002","691322110002",71.000000,4.400000,0.000000,top
"J9","691322110002","691322110002",80.500000,4.400000,0.000000,top
"J10","691322110002","691322110002",90.000000,4.400000,0.000000,top
"J11","691322110002","691322110002",90.100000,11.000000,90.000000,top
"J12","691322110002","691322110002",90.100000,20.500000,90.000000,top
"J13","691322110002","691322110002",90.100000,30.000000,90.000000,top
"J14","691322110002","691322110002",90.100000,39.500000,90.000000,top
"J15","691322110002","691322110002",4.900000,15.500000,-90.000000,top
"J16","1844223","CONN_1844223_PXC",4.823590,43.432601,-90.000000,top
"J17","1844223","CONN_1844223_PXC",90.176410,47.067399,90.000000,top
"J18","1844223","CONN_1844223_PXC",4.823590,30.432601,-90.000000,top
"LED1","5988A10107F","LED_5988A10107F_DIA",23.980417,13.322033,90.000000,top
"LED2","5988A10107F","LED_5988A10107F_DIA",33.480417,13.322033,90.000000,top
"LED3","5988A10107F","LED_5988A10107F_DIA",42.980417,13.322033,90.000000,top
"LED4","5988A10107F","LED_5988A10107F_DIA",52.480417,13.322033,90.000000,top
"LED5","5988A10107F","LED_5988A10107F_DIA",61.951928,13.250000,90.000000,top
"LED6","5988A10107F","LED_5988A10107F_DIA",69.480417,13.250000,90.000000,top
"LED7","5988A10107F","LED_5988A10107F_DIA",76.980417,13.409821,90.000000,top
"LED8","5988A10107F","LED_5988A10107F_DIA",84.479364,13.409821,90.000000,top
"LED9","5988A10107F","LED_5988A10107F_DIA",81.000000,20.980417,180.000000,top
"LED10","5988A10107F","LED_5988A10107F_DIA",81.000000,30.480417,180.000000,top
"LED11","5988A10107F","LED_5988A10107F_DIA",81.000000,40.000000,180.000000,top
"LED12","SZYY0402YG","LED_S73240_WRE",36.750000,40.250000,0.000000,top
